Time,1,2,3,R1,V_C1,R2,V1
0.232,5.05834,4.94166,10,-0.505834,0.505834,-0.505834,0.505834
0.233,5.05859,4.94141,10,-0.505859,0.505859,-0.505859,0.505859
0.234,5.05884,4.94116,10,-0.505884,0.505884,-0.505884,0.505884
0.235,5.0591,4.9409,10,-0.50591,0.50591,-0.50591,0.50591
0.236,5.05935,4.94065,10,-0.505935,0.505935,-0.505935,0.505935
0.237,5.0596,4.9404,10,-0.50596,0.50596,-0.50596,0.50596
0.238,5.05985,4.94015,10,-0.505985,0.505985,-0.505985,0.505985
0.239,5.06011,4.93989,10,-0.506011,0.506011,-0.506011,0.506011
0.24,5.06036,4.93964,10,-0.506036,0.506036,-0.506036,0.506036
0.241,5.06061,4.93939,10,-0.506061,0.506061,-0.506061,0.506061
0.242,5.06087,4.93913,10,-0.506087,0.506087,-0.506087,0.506087
0.243,5.06112,4.93888,10,-0.506112,0.506112,-0.506112,0.506112
0.244,5.06137,4.93863,10,-0.506137,0.506137,-0.506137,0.506137
0.245,5.06163,4.93837,10,-0.506163,0.506163,-0.506163,0.506163
0.246,5.06188,4.93812,10,-0.506188,0.506188,-0.506188,0.506188
0.247,5.06213,4.93787,10,-0.506213,0.506213,-0.506213,0.506213
0.248,5.06238,4.93762,10,-0.506238,0.506238,-0.506238,0.506238
0.249,5.06264,4.93736,10,-0.506264,0.506264,-0.506264,0.506264
0.25,5.06289,4.93711,10,-0.506289,0.506289,-0.506289,0.506289
0.251,5.06314,4.93686,10,-0.506314,0.506314,-0.506314,0.506314
0.252,5.0634,4.9366,10,-0.50634,0.50634,-0.50634,0.50634
0.253,5.06365,4.93635,10,-0.506365,0.506365,-0.506365,0.506365
0.254,5.0639,4.9361,10,-0.50639,0.50639,-0.50639,0.50639
0.255,5.06416,4.93584,10,-0.506416,0.506416,-0.506416,0.506416
0.256,5.06441,4.93559,10,-0.506441,0.506441,-0.506441,0.506441
0.257,5.06466,4.93534,10,-0.506466,0.506466,-0.506466,0.506466
0.258,5.06492,4.93508,10,-0.506492,0.506492,-0.506492,0.506492
0.259,5.06517,4.93483,10,-0.506517,0.506517,-0.506517,0.506517
0.26,5.06542,4.93458,10,-0.506542,0.506542,-0.506542,0.506542
0.261,5.06568,4.93432,10,-0.506568,0.506568,-0.506568,0.506568
0.262,5.06593,4.93407,10,-0.506593,0.506593,-0.506593,0.506593
0.263,5.06618,4.93382,10,-0.506618,0.506618,-0.506618,0.506618
0.264,5.06644,4.93356,10,-0.506644,0.506644,-0.506644,0.506644
0.265,5.06669,4.93331,10,-0.506669,0.506669,-0.506669,0.506669
0.266,5.06694,4.93306,10,-0.506694,0.506694,-0.506694,0.506694
0.267,5.0672,4.9328,10,-0.50672,0.50672,-0.50672,0.50672
0.268,5.06745,4.93255,10,-0.506745,0.506745,-0.506745,0.506745
0.269,5.0677,4.9323,10,-0.50677,0.50677,-0.50677,0.50677
0.27,5.06796,4.93204,10,-0.506796,0.506796,-0.506796,0.506796
0.271,5.06821,4.93179,10,-0.506821,0.506821,-0.506821,0.506821
0.272,5.06846,4.93154,10,-0.506846,0.506846,-0.506846,0.506846
0.273,5.06872,4.93128,10,-0.506872,0.506872,-0.506872,0.506872
0.274,5.06897,4.93103,10,-0.506897,0.506897,-0.506897,0.506897
0.275,5.06922,4.93078,10,-0.506922,0.506922,-0.506922,0.506922
0.276,5.06948,4.93052,10,-0.506948,0.506948,-0.506948,0.506948
0.277,5.06973,4.93027,10,-0.506973,0.506973,-0.506973,0.506973
0.278,5.06998,4.93002,10,-0.506998,0.506998,-0.506998,0.506998
0.279,5.07024,4.92976,10,-0.507024,0.507024,-0.507024,0.507024
0.28,5.07049,4.92951,10,-0.507049,0.507049,-0.507049,0.507049
0.281,5.07074,4.92926,10,-0.507074,0.507074,-0.507074,0.507074
0.282,5.071,4.929,10,-0.5071,0.5071,-0.5071,0.5071
0.283,5.07125,4.92875,10,-0.507125,0.507125,-0.507125,0.507125
0.284,5.0715,4.9285,10,-0.50715,0.50715,-0.50715,0.50715
0.285,5.07176,4.92824,10,-0.507176,0.507176,-0.507176,0.507176
0.286,5.07201,4.92799,10,-0.507201,0.507201,-0.507201,0.507201
0.287,5.07227,4.92773,10,-0.507227,0.507227,-0.507227,0.507227
0.288,5.07252,4.92748,10,-0.507252,0.507252,-0.507252,0.507252
0.289,5.07277,4.92723,10,-0.507277,0.507277,-0.507277,0.507277
0.29,5.07303,4.92697,10,-0.507303,0.507303,-0.507303,0.507303
0.291,5.07328,4.92672,10,-0.507328,0.507328,-0.507328,0.507328
0.292,5.07353,4.92647,10,-0.507353,0.507353,-0.507353,0.507353
0.293,5.07379,4.92621,10,-0.507379,0.507379,-0.507379,0.507379
